| 合う (あう) | 合う | Hợp | gặp, hợp | 友達に合う。(Gặp bạn.) |
| 携える (たずさえる) | 携える | Huề | mang theo | 書類を携える。(Mang theo tài liệu.) |
| 尋ねる (たずねる) | 尋ねる | Tầm | hỏi | 道を尋ねる。(Hỏi đường.) |
| 辿る (たどる) | 辿る | Đệ | theo | 足跡を辿る。(Theo dấu chân.) |
| 辿り着く (たどりつく) | 辿り着く | Đệ | đến được | ゴールに辿り着く。(Đến được đích.) |
| 称える (たたえる) | 称える | Xưng | khen ngợi | 功績を称える。(Khen ngợi công lao.) |
| 絶える (たえる) | 絶える | Tuyệt | dứt | 音が絶える。(Âm thanh dứt.) |
| 束ねる (たばねる) | 束ねる | Thúc | buộc lại | 髪を束ねる。(Buộc tóc lại.) |
| 例える (たとえる) | 例える | Lệ | so sánh | 人生を旅に例える。(So sánh cuộc đời với chuyến đi.) |
| 助かる (たすかる) | 助かる | Trợ | được cứu | 命が助かる。(Mạng sống được cứu.) |
| 助ける (たすける) | 助ける | Trợ | giúp đỡ | 友達を助ける。(Giúp đỡ bạn.) |
| 溜める (ためる) | 溜める | Lưu | tích trữ | お金を溜める。(Tích trữ tiền.) |
| 試す (ためす) | 試す | Thí | thử | 新しい方法を試す。(Thử phương pháp mới.) |
| 保つ (たもつ) | 保つ | Bảo | giữ | 健康を保つ。(Giữ gìn sức khỏe.) |
| 垂らす (たらす) | 垂らす | Thùy | thả rơi, nhỏ giọt | 涙を垂らす。(Rơi nước mắt.) / ソースを垂らす。(Nhỏ nước sốt.) |
| 足りる (たりる) | 足りる | Túc | đủ | お金が足りる。(Đủ tiền.) |
| 垂れる (たれる) | 垂れる | Thùy | rớt xuống, chảy xuống | 雨が垂れる。(Mưa rớt xuống.) / 鼻水が垂れる。(Nước mũi chảy xuống.) |
| 誓う (ちかう) | 誓う | Thệ | thề | 永遠の愛を誓う。(Thề yêu trọn đời.) |
| 近づく (ちかづく) | 近づく | Cận | đến gần | 目標に近づく。(Đến gần mục tiêu.) |
| 近寄る (ちかよる) | 近寄る | Cận | lại gần | 犬に近寄る。(Lại gần con chó.) |
| 違う (ちがう) | 違う | Vi | khác | 意見が違う。(Ý kiến khác nhau.) |
| 千切る (ちぎる) | 千切る | Thiên | xé | 紙を千切る。(Xé giấy.) |
| 縮む (ちぢむ) | 縮む | Súc | co lại | セーターが縮む。(Áo len co lại.) |
| 縮める (ちぢめる) | 縮める | Súc | rút ngắn, thu nhỏ | 時間を縮める。(Rút ngắn thời gian.) / 距離を縮める。(Thu hẹp khoảng cách.) |
| 散る (ちる) | 散る | Tán | rơi rụng | 花が散る。(Hoa rơi rụng.) |
| 散らかす (ちらかす) | 散らかす | Tán | làm bừa bộn | 部屋を散らかす。(Làm bừa bộn phòng.) |
| 散らかる (ちらかる) | 散らかる | Tán | bừa bộn | 部屋が散らかる。(Phòng bừa bộn.) |
| 散らす (ちらす) | 散らす | Tán | làm rơi vãi, phân tán | 紙を散らす。(Làm rơi vãi giấy.) / 注意を散らす。(Làm phân tán sự chú ý.) |
| 付く (つく) | 付く | Phụ | đính, gắn | シールが付く。(Nhãn dán được dán.) |
| 着く (つく) | 着く | Trước | đến | 駅に着く。(Đến ga.) |
| 就く (つく) | 就く | Tựu | đảm nhận (chức vụ) | 職に就く。(Đảm nhận chức vụ.) |
| 点く (つく) | 点く | Điểm | được bật | 電気が点く。(Đèn được bật.) |
| 突く (つく) | 突く | Đột | đâm, chọc | 壁を突く。(Đâm vào tường.) / 指で突く。(Chọc bằng ngón tay.) |
| 搗く (つく) | 搗く | Đảo | giã | 餅を搗く。(Giã bánh mochi.) |
| 尽くす (つくす) | 尽くす | Tận | cố gắng hết sức, phục vụ | 全力を尽くす。(Cố gắng hết sức.) / 社会に尽くす。(Phục vụ xã hội.) |
| 作る (つくる) | 作る | Tác | làm, tạo | 料理を作る。(Nấu ăn.) |
| 造る (つくる) | 造る | Tạo | chế tạo | 機械を造る。(Chế tạo máy móc.) |
| 創る (つくる) | 創る | Sáng | sáng tạo | 新しいものを創る。(Sáng tạo cái mới.) |
| 浸かる (つかる) | 浸かる | Tẩm | ngâm | 湯に浸かる。(Ngâm mình trong nước nóng.) |
| 掴む (つかむ) | 掴む | Quắc | nắm, tóm lấy | ロープを掴む。(Nắm dây.) / チャンスを掴む。(Nắm bắt cơ hội.) |
| 疲れる (つかれる) | 疲れる | Bì | mệt mỏi | 体が疲れる。(Cơ thể mệt mỏi.) |
| 付ける (つける) | 付ける | Phụ | đính, gắn | 名札を付ける。(Gắn thẻ tên.) |
| 点ける (つける) | 点ける | Điểm | bật | 明かりを点ける。(Bật đèn.) |
| 浸す (つける) | 浸す | Tẩm | ngâm | 水に浸す。(Ngâm trong nước.) |
| 漬ける (つける) | 漬ける | T漬 | ngâm, muối | 野菜を漬ける。(Muối rau.) |
| 伝える (つたえる) | 伝える | Truyền | truyền đạt | 情報を伝える。(Truyền đạt thông tin.) |
| 伝う (つたう) | 伝う | Truyền | lan truyền, men theo | 壁を伝う。(Leo theo tường.) / 涙が頬を伝う。(Nước mắt lăn dài trên má.) |
| 続く (つづく) | 続く | Tục | tiếp tục | 雨が続く。(Mưa tiếp tục.) |
| 続ける (つづける) | 続ける | Tục | tiếp tục (làm gì đó) | 勉強を続ける。(Tiếp tục học.) |
| 綴る (つづる) | 綴る | Xuyết | viết, đánh vần | 詩を綴る。(Viết thơ.) / 名前を綴る。(Đánh vần tên.) |
| 突っ張る (つっぱる) | 突っ張る | Đột | chống, căng, khăng khăng | 壁を突っ張る。(Chống vào tường.) / 意見を突っ張る。(Khăng khăng ý kiến.) |
| 勤める (つとめる) | 勤める | Cần | làm việc | 会社に勤める。(Làm việc ở công ty.) |
| 努める (つとめる) | 努める | Nỗ | cố gắng, nỗ lực | 問題解決に努める。(Nỗ lực giải quyết vấn đề.) |
| 務める (つとめる) | 務める | Vụ | đảm nhiệm vai trò | 議長を務める。(Đảm nhiệm vai trò chủ tịch.) |
| 繋がる (つながる) | 繋がる | Hệ | kết nối, liên quan | 電話が繋がる。(Điện thoại kết nối được.) / 事件に繋がる。(Liên quan đến vụ án.) |
| 繋ぐ (つなぐ) | 繋ぐ | Hệ | kết nối, nắm (tay) | 手を繋ぐ。(Nắm tay.) / インターネットに繋ぐ。(Kết nối internet.) |
| 詰まる (つまる) | 詰まる | Cật | bị tắc, đầy | 排水口が詰まる。(Ống thoát nước bị tắc.) / 予定が詰まる。(Lịch trình kín mít.) |
| 摘む (つむ) | 摘む | Trích | hái | 花を摘む。(Hái hoa.) |
| 積む (つむ) | 積む | Tích | chất đống, tích lũy | 荷物を積む。(Chất đống hành lý.) / 経験を積む。(Tích lũy kinh nghiệm.) |
| 詰める (つめる) | 詰める | Cật | nhét chặt, rút ngắn | 荷物を詰める。(Nhét chặt hành lý.) / 距離を詰める。(Rút ngắn khoảng cách.) |
| 釣る (つる) | 釣る | Điếu | câu | 魚を釣る。(Câu cá.) |
| 吊るす (つるす) | 吊るす | Điếu | treo | 看板を吊るす。(Treo biển hiệu.) |
| 連れる (つれる) | 連れる | Liên | dắt đi | 犬を連れる。(Dắt chó đi.) |
| 出会う (であう) | 出会う | Xuất hội | gặp gỡ (tình cờ) | 偶然友達に出会う。(Tình cờ gặp bạn.) |
| 出来る (できる) | 出来る | Xuất lai | có thể, được hoàn thành | 英語が出来る。(Có thể nói tiếng Anh.) / 宿題が出来た。(Bài tập đã hoàn thành.) |
| 手伝う (てつだう) | 手伝う | Thủ | giúp đỡ | 母を手伝う。(Giúp mẹ.) |
| 出る (でる) | 出る | Xuất | ra ngoài, xuất hiện | 家を出る。(Ra khỏi nhà.) / 芽が出る。(Mầm nhú ra.) |
| 照らす (てらす) | 照らす | Chiếu | chiếu sáng | 懐中電灯で照らす。(Chiếu sáng bằng đèn pin.) |
| 照る (てる) | 照る | Chiếu | chiếu sáng (mặt trời) | 太陽が照る。(Mặt trời chiếu sáng.) |
| 照れる (てれる) | 照れる | Chiếu | ngượng | 褒められて照れる。(Ngượng vì được khen.) |
| 問う (とう) | 問う | Vấn | hỏi | 意見を問う。(Hỏi ý kiến.) |
| 通る (とおる) | 通る | Thông | đi qua | 道を通る。(Đi qua đường.) |
| 通す (とおす) | 通す | Thông | cho qua, thông qua | 光を通す。(Cho ánh sáng đi qua.) / 提案を通す。(Thông qua đề án.) |
| 閉じる (とじる) | 閉じる | Bế | đóng | 本を閉じる。(Đóng sách.) |
| 綴じる (とじる) | 綴じる | Xuyết | đóng (sách, tài liệu) | 書類を綴じる。(Đóng tài liệu.) |
| 届く (とどく) | 届く | Giới | đến, đạt tới | 手紙が届く。(Thư đến.) / 声が届く。(Tiếng nói vọng tới.) |
| 届ける (とどける) | 届ける | Giới | giao, gửi | 荷物を届ける。(Giao hàng.) |
| 整う (ととのう) | 整う | Chỉnh | được sắp xếp, chuẩn bị xong | 部屋が整う。(Phòng được sắp xếp.) / 準備が整う。(Chuẩn bị xong.) |
| 整える (ととのえる) | 整える | Chỉnh | sắp xếp, chuẩn bị | 部屋を整える。(Sắp xếp phòng.) / 服装を整える。(Chỉnh trang phục.) |
| 留まる (とどまる) | 留まる | Lưu | dừng lại, ở lại | その場に留まる。(Dừng lại tại chỗ.) / 記憶に留まる。(Lưu lại trong ký ức.) |
| 留める (とどめる) | 留める | Lưu | giữ lại, dừng lại | 記憶に留める。(Ghi nhớ.) / 足を留める。(Dừng chân.) |
| 泊まる (とまる) | 泊まる | Bạc | trọ lại | ホテルに泊まる。(Trọ lại khách sạn.) |
| 止まる (とまる) | 止まる | Chỉ | dừng lại | 車が止まる。(Xe dừng lại.) |
| 富む (とむ) | 富む | Phú | giàu có | 資源に富む。(Giàu tài nguyên.) |
| 泊める (とめる) | 泊める | Bạc | cho ở lại | 友達を泊める。(Cho bạn ở lại.) |
| 止める (とめる) | 止める | Chỉ | dừng lại | 車を止める。(Dừng xe.) |
| 取る (とる) | 取る | Thủ | lấy | ペンを取る。(Lấy bút.) |
| 撮る (とる) | 撮る | Toát | chụp | 写真を撮る。(Chụp ảnh.) |
| 捕る (とる) | 捕る | Bổ | bắt | 魚を捕る。(Bắt cá.) |
| 採る (とる) | 採る | Thái | lấy, thu thập, tuyển dụng | 野菜を採る。(Thu hoạch rau.) / 血を採る。(Lấy máu.) / 新人を採る。(Tuyển người mới.) |
| 執る (とる) | 執る | Chấp | nắm giữ, thực hiện | 筆を執る。(Cầm bút.) / 事務を執る。(Xử lý công việc văn phòng.) |
| 解く (とく) | 解く | Giải | giải | 問題を解く。(Giải bài.) |
| 溶く (とく) | 溶く | Dung | hòa tan | バターを溶く。(Làm tan bơ.) |
| 説く (とく) | 説く | Thuyết | giảng giải | 道理を説く。(Giảng giải đạo lý.) |
| 解ける (とける) | 解ける | Giải | được giải, tuột ra | 謎が解ける。(Bí ẩn được giải.) / 紐が解ける。(Dây bị tuột.) |
| 溶ける (とける) | 溶ける | Dung | tan | 氷が溶ける。(Đá tan.) |
| 退ける (どける) | 退ける | Thoái | dọn dẹp, loại bỏ | 箱を退ける。(Dọn cái hộp đi.) |
| 飛ぶ (とぶ) | 飛ぶ | Phi | bay | 鳥が飛ぶ。(Chim bay.) |
| 直す (なおす) | 直す | Trực | sửa lại | 時計を直す。(Sửa đồng hồ.) |
| 治す (なおす) | 治す | Trị | chữa | 病気を治す。(Chữa bệnh.) |
| 直る (なおる) | 直る | Trực | được sửa | 故障が直る。(Hỏng hóc được sửa.) |
| 治る (なおる) | 治る | Trị | khỏi bệnh | 風邪が治る。(Cảm lạnh khỏi.) |
| 流す (ながす) | 流す | Lưu | cho chảy, lan truyền | 水を流す。(Cho nước chảy.) / 噂を流す。(Lan truyền tin đồn.) |
| 眺める (ながめる) | 眺める | Thiếu | ngắm nhìn | 景色を眺める。(Ngắm nhìn phong cảnh.) |
| 流れる (ながれる) | 流れる | Lưu | chảy, trôi | 川が流れる。(Sông chảy.) / 時が流れる。(Thời gian trôi.) |
| 慰める (なぐさめる) | 慰める | Úy | an ủi | 友人を慰める。(An ủi bạn.) |
| 殴る (なぐる) | 殴る | Ẩu | đánh | 相手を殴る。(Đánh đối phương.) |
| 嘆く (なげく) | 嘆く | Thán | than thở | 運命を嘆く。(Than thở về số phận.) |
| 投げる (なげる) | 投げる | Đầu | ném | ボールを投げる。(Ném bóng.) |
| 無くなる (なくなる) | 無くなる | Vô | mất, hết | 財布が無くなる。(Ví bị mất.) / 在庫が無くなる。(Hết hàng tồn kho.) |
| 亡くなる (なくなる) | 亡くなる | Vong | qua đời | 祖父が亡くなる。(Ông nội qua đời.) |
| 無くす (なくす) | 無くす | Vô | làm mất | 鍵を無くす。(Làm mất chìa khóa.) |
| 泣く (なく) | 泣く | Khấp | khóc | 子供が泣く。(Trẻ em khóc.) |
| 鳴く (なく) | 鳴く | Minh | kêu (động vật) | 鳥が鳴く。(Chim hót.) |
| 凪ぐ (なぐ) | 凪ぐ | Trĩ | lặng (gió, biển) | 海が凪ぐ。(Biển lặng.) |
| 成す (なす) | 成す | Thành | làm, thực hiện | 仕事を成す。(Hoàn thành công việc.) |
| 為す (なす) | 為す | Vi | làm, hành động | 善を為す。(Làm việc thiện.) |
| 撫でる (なでる) | 撫でる | Phủ | vuốt ve | 猫を撫でる。(Vuốt ve mèo.) |
| 懐く (なつく) | 懐く | Hoài | quấn quýt, theo | 犬が懐く。(Chó quấn quýt.) |
| 並ぶ (ならぶ) | 並ぶ | Tịnh | xếp hàng | 列に並ぶ。(Xếp hàng.) |
| 並べる (ならべる) | 並べる | Tịnh | sắp xếp | 本を並べる。(Sắp xếp sách.) |
| 習う (ならう) | 習う | Tập | học | 英語を習う。(Học tiếng Anh.) |
| 成る (なる) | 成る | Thành | trở thành | 医者になる。(Trở thành bác sĩ.) |
| 鳴る (なる) | 鳴る | Minh | kêu, reo | 電話が鳴る。(Điện thoại kêu.) |
| 慣らす (ならす) | 慣らす | Quán | làm quen | 体を慣らす。(Làm quen cơ thể.) |
| 鳴らす (ならす) | 鳴らす | Minh | làm kêu, bấm (còi) | 鐘を鳴らす。(Làm chuông kêu.) / クラクションを鳴らす。(Bấm còi xe.) |
| 慣れる (なれる) | 慣れる | Quán | quen | 環境に慣れる。(Quen với môi trường.) |
| 煮る (にる) | 煮る | Chử | nấu, ninh | 野菜を煮る。(Nấu rau.) |
| 似る (にる) | 似る | Tự | giống | 父親に似る。(Giống cha.) |
| 握る (にぎる) | 握る | Ác | nắm | 手を握る。(Nắm tay.) / おにぎりを握る。(Nắm cơm.) |
| 逃がす (にがす) | 逃がす | Đào | thả, để thoát | 犯人を逃がす。(Để tội phạm thoát.) |
| 逃げる (にげる) | 逃げる | Đào | chạy trốn | 敵から逃げる。(Chạy trốn khỏi kẻ thù.) |
| 濁す (にごす) | 濁す | Trọc | làm đục, nói mập mờ | 水を濁す。(Làm đục nước.) / 言葉を濁す。(Nói mập mờ.) |
| 濁る (にごる) | 濁る | Trọc | đục | 水が濁る。(Nước đục.) |
| 憎む (にくむ) | 憎む | Tăng | ghét, căm thù | 敵を憎む。(Ghét kẻ thù.) |
| 睨む (にらむ) | 睨む | Nghễ | nhìn chằm chằm, lườm | 敵を睨む。(Nhìn chằm chằm kẻ thù.) |
| 縫う (ぬう) | 縫う | Phùng | may | 服を縫う。(May quần áo.) |
| 抜く (ぬく) | 抜く | Bạt | rút ra, nhổ | 刀を抜く。(Rút kiếm.) / 歯を抜く。(Nhổ răng.) |
| 脱ぐ (ぬぐ) | 脱ぐ | Thoát | cởi | 靴を脱ぐ。(Cởi giày.) |
| 拭う (ぬぐう) | 拭う | Thức | lau | 汗を拭う。(Lau mồ hôi.) |
| 抜ける (ぬける) | 抜ける | Bạt | được rút ra, rơi ra, thoát khỏi | 糸が抜ける。(Sợi chỉ được rút ra.) / トンネルを抜ける。(Thoát khỏi đường hầm.) |
| 盗む (ぬすむ) | 盗む | Đạo | ăn trộm | お金を盗む。(Ăn trộm tiền.) |
| 濡らす (ぬらす) | 濡らす | Nhu | làm ướt | 髪を濡らす。(Làm ướt tóc.) |
| 濡れる (ぬれる) | 濡れる | Nhu | ướt | 服が濡れる。(Quần áo ướt.) |
| 願う (ねがう) | 願う | Nguyện | ước, mong | 幸せを願う。(Ước hạnh phúc.) |
| 寝る (ねる) | 寝る | Tẩm | ngủ | 早く寝る。(Ngủ sớm.) |
| 練る (ねる) | 練る | Luyện | trau dồi, nhào trộn | 計画を練る。(Lập kế hoạch.) / パン生地を練る。(Nhào bột bánh mì.) |
| 狙う (ねらう) | 狙う | Thư | nhắm, mục tiêu | 獲物を狙う。(Nhắm con mồi.) / 優勝を狙う。(Nhắm tới chức vô địch.) |
| 粘る (ねばる) | 粘る | Niêm | dính, kiên trì | 手が粘る。(Tay dính.) / 最後まで粘る。(Kiên trì đến cùng.) |
| 捻る (ねじる) | 捻る | Niệp | xoắn, vặn | 蛇口を捻る。(Vặn vòi nước.) / 体を捻る。(Xoắn người.) |
| 残す (のこす) | 残す | Tàn | để lại | メッセージを残す。(Để lại tin nhắn.) / 食べ物を残す。(Để lại thức ăn.) |
| 残る (のこる) | 残る | Tàn | còn lại | 時間が残る。(Còn thời gian.) / 記憶に残る。(Còn lại trong ký ức.) |
| 乗せる (のせる) | 乗せる | Thừa | cho lên, chở | バスに乗せる。(Cho lên xe buýt.) / 子供を肩に乗せる。(Cho con ngồi lên vai.) |
| 載せる (のせる) | 載せる | Tải | đặt lên, đăng | 棚に載せる。(Đặt lên kệ.) / 記事を雑誌に載せる。(Đăng bài viết lên tạp chí.) |
| 除く (のぞく) | 除く | Trừ | loại trừ, nhìn trộm | 税金を除く。(Không bao gồm thuế.) / 鍵穴から覗く。(Nhìn trộm qua lỗ khóa.) |
| 覗く (のぞく) | 覗く | Khuy | nhìn trộm, liếc nhìn | 窓から覗く。(Nhìn trộm qua cửa sổ.) |
| 望む (のぞむ) | 望む | Vọng | mong mỏi, ước | 幸せを望む。(Mong mỏi hạnh phúc.) / 成功を望む。(Ước thành công.) |
| 臨む (のぞむ) | 臨む | Lâm | đối diện, tham dự | 試験に臨む。(Đối diện với kỳ thi.) / 会議に臨む。(Tham dự hội nghị.) |
| 昇る (のぼる) | 昇る | Thăng | lên, mọc | 太陽が昇る。(Mặt trời mọc.) / 地位が昇る。(Địa vị tăng lên.) |
| 上る (のぼる) | 上る | Thượng | lên, đi lên | 山に上る。(Leo núi.) / 階段を上る。(Lên cầu thang.) |
| 登る (のぼる) | 登る | Đăng | trèo, leo | 木に登る。(Trèo cây.) |
| 飲む (のむ) | 飲む | Ẩm | uống | 水を飲む。(Uống nước.) |
| 乗る (のる) | 乗る | Thừa | lên, đi (xe) | 電車に乗る。(Đi tàu điện.) |
| 載る (のる) | 載る | Tải | được chở, được đăng | 記事が載る。(Bài viết được đăng.) / 荷物がトラックに載る。(Hàng hóa được chở trên xe tải.) |
| 伸びる (のびる) | 伸びる | Thân | dài ra, phát triển | 髪が伸びる。(Tóc dài ra.) / 身長が伸びる。(Chiều cao phát triển.) |
| 延びる (のびる) | 延びる | Diên | bị trì hoãn, kéo dài | 会議が延びる。(Cuộc họp bị kéo dài.) / 寿命が延びる。(Tuổi thọ kéo dài.) |
| 伸ばす (のばす) | 伸ばす | Thân | làm dài, duỗi | 髪を伸ばす。(Để tóc dài.) / 手を伸ばす。(Duỗi tay.) |
| 延ばす (のばす) | 延ばす | Diên | trì hoãn, kéo dài | 出発を延ばす。(Trì hoãn xuất phát.) / 期限を延ばす。(Kéo dài thời hạn.) |
| 述べる (のべる) | 述べる | Thuật | phát biểu, trình bày | 意見を述べる。(Phát biểu ý kiến.) |
| 剥がす (はがす) | 剥がす | Bác | bóc ra | シールを剥がす。(Bóc nhãn dán.) |
| 剥がれる (はがれる) | 剥がれる | Bác | bị bóc ra | 壁紙が剥がれる。(Giấy dán tường bị bong.) |
